,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Intangibles,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,"Shares Outstanding, K",Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
12-2012,10081000,22318000,10675000,6076000,9511000,64831000,13213000,14149000,88807000,4798000,120967000,185798000,2921000,1875000,13812000,29186000,31036000,22699000,74934000,104120000,7189062,448000,54240000,-5496000,81678000,185798000
09-2012,4506000,18462000,12523000,7516000,14120000,57127000,14606000,13429000,91579000,5862000,125476000,182603000,2967000,1736000,13455000,29131000,31083000,21135000,71357000,100488000,7362573,447000,51256000,-5202000,82115000,182603000
06-2012,3031000,21275000,12882000,7001000,14576000,58765000,14756000,10548000,92967000,5806000,124077000,182842000,3165000,1493000,13215000,30798000,30868000,22721000,72083000,102881000,7469484,447000,47904000,-5554000,79961000,182842000
03-2012,2934000,21038000,14182000,7189000,9520000,54863000,16192000,10632000,98053000,5943000,130820000,185683000,3091000,1752000,14794000,27094000,33543000,21621000,74912000,102006000,7488136,446000,48124000,-3160000,83677000,185683000
12-2011,3182000,23270000,13058000,6610000,14697000,60817000,15921000,9814000,95753000,5697000,127185000,188002000,3678000,2120000,15066000,28909000,34926000,22676000,76472000,105381000,7538520,445000,46210000,-3656000,82621000,188002000
