,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Intangibles,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,"Shares Outstanding, K",Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
03-2009,1247000,32805000,9596000,4458000,1092000,54253000,12936000,13536000,38405000,3802000,68679000,122932000,1573000,1565000,12046000,23340000,21064000,15237000,39151000,62491000,6747979,443000,51863000,-4703000,60441000,122932000
12-2008,2122000,21609000,8958000,4381000,972000,43076000,13287000,11478000,39185000,4122000,68072000,111148000,1751000,1667000,11456000,27009000,7963000,15472000,26399000,53408000,6745270,443000,49142000,-4737000,57740000,111148000
09-2008,1265000,24752000,9901000,4788000,1035000,48227000,14332000,8430000,40331000,3929000,67022000,115249000,1649000,1752000,8173000,21503000,7152000,13429000,26411000,47914000,6742936,443000,53175000,944000,67335000,115249000
06-2008,820000,25359000,10245000,5334000,1182000,48651000,14925000,7105000,41579000,4255000,67864000,116515000,1928000,1640000,7100000,23193000,7246000,13616000,26753000,49946000,6740995,443000,50912000,2603000,66569000,116515000
03-2008,2013000,26615000,10432000,5148000,864000,51011000,15383000,4511000,41452000,6193000,67539000,118550000,1909000,1622000,8020000,21682000,8143000,13861000,29451000,51133000,6765197,443000,52436000,1420000,67417000,118550000
