,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Intangibles,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,"Shares Outstanding, K",Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
03-2014,2862000,31019000,9399000,6066000,3473000,57793000,12347000,15822000,80589000,5257000,114015000,171808000,2546000,1758000,10315000,24790000,27649000,15369000,68950000,93740000,6378718,454000,72028000,-3059000,78068000,171808000
12-2013,2183000,30225000,9357000,6166000,3689000,56244000,12397000,16406000,81904000,5150000,115857000,172101000,3234000,1792000,9972000,23366000,30462000,16057000,72115000,95481000,6382925,453000,69732000,-2925000,76620000,172101000
09-2013,2052000,31627000,11371000,6482000,7968000,59500000,12359000,15731000,82949000,4982000,116021000,175521000,2287000,1750000,10774000,20373000,31812000,22541000,76794000,97167000,6481071,452000,70381000,-5963000,78354000,175521000
06-2013,2436000,31275000,11523000,6282000,9919000,61435000,12443000,16107000,84207000,5143000,117900000,179335000,1978000,1430000,12218000,23450000,31532000,22999000,76908000,100358000,6620300,451000,67628000,-5999000,78977000,179335000
03-2013,2134000,33212000,12735000,7035000,9647000,64763000,13950000,15392000,87861000,5432000,122635000,187398000,3279000,1684000,12521000,27543000,31481000,23087000,77028000,104571000,7093223,450000,56972000,-5541000,82827000,187398000
