,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL,Total Assets,Short Term Debt,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
03-1989,455000,128700,1171100,1074000,1226600,4055400,3175400,0,1886900,5062300,7599500,7700,355300,203600,424700,2157800,221200,114200,958500,3092700,16500,3938200,94900,4483200,7575900
12-1988,666600,989300,1167200,1089400,182300,4094800,3153600,1036500,851200,5041300,7637600,0,359700,207900,548700,2344300,226900,113400,992200,356500,16500,3697400,145200,4301100,4657600
09-1988,612900,156500,1192000,1032200,982000,3975600,2994000,950400,818000,4762400,7295000,4300,318900,183000,401400,2049200,232100,102500,997600,3025300,16500,3729400,62600,4248200,7273500
06-1988,860100,798600,1150500,1087600,180100,4076900,3003400,935700,630299,4569399,7203700,0,339000,174800,511900,2044900,245200,107100,1034200,3056700,16500,3512900,159100,4124600,7181300
03-1988,979400,689800,1178000,1046400,193600,4087200,2925900,776600,578100,4280600,6962700,0,339900,184900,427900,1871900,246400,22600,1056100,2905400,16600,3464500,133600,4034700,6940100
