,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Intangibles,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,"Shares Outstanding, K",Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
12-2002,1878000,10673000,5785000,2678000,1970000,24781000,10712000,5161000,2121000,3581000,21575000,46356000,1620000,1084000,3448000,18555000,3140000,4347000,7851000,26406000,6158348,341000,30243000,-3661000,19950000,46356000
09-2002,1774000,10770000,6099000,2909000,397000,23670000,11076000,5110000,1304000,3716000,21206000,44876000,1551000,1004000,3280000,18401000,3118000,3994000,7522000,25923000,6162164,341000,29099000,-3335000,18953000,44876000
06-2002,1196000,10140000,6273000,2805000,274000,22386000,10784000,5118000,1288000,2992000,20182000,42568000,1524000,916000,3141000,16317000,3072000,3994000,7421000,23738000,6189667,340000,26742000,-3985000,18830000,42568000
03-2002,1332000,8561000,6453000,2750000,250000,20970000,10496000,5304000,1824000,2722000,20346000,41316000,1591000,915000,3102000,14729000,2580000,3957000,6913000,21642000,6244712,340000,26788000,-4204000,19674000,41316000
12-2001,1036000,7579000,4798000,2485000,1896000,19212000,9783000,5724000,1689000,2745000,19941000,39153000,1411000,1026000,2866000,13729000,2609000,4124000,7131000,20860000,6265231,340000,24430000,-4399000,18293000,39153000
