,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Intangibles,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,"Shares Outstanding, K",Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
06-2020,1801000,20993000,9128000,8564000,2512000,46424000,14113000,18720000,91990000,6687000,131510000,177934000,3872000,2042000,10168000,32723000,50529000,24702000,80648000,113370000,5556880,470000,100203000,-13017000,64564000,177934000
03-2020,2151000,8199000,9881000,8423000,2738000,34738000,14040000,18220000,92966000,6373000,131599000,166336000,3972000,2246000,10515000,33890000,36281000,25550000,67108000,100998000,5554834,470000,101000000,-12802000,65338000,166336000
12-2019,1121000,8525000,6772000,7068000,6581000,32803000,12969000,20147000,82138000,19537000,134791000,167594000,3887000,2390000,9334000,37304000,35955000,25228000,66844000,104148000,5547639,468000,97670000,-11318000,63447000,167595000
09-2019,2785000,6302000,9439000,8222000,6711000,33459000,13701000,18722000,97660000,6904000,136987000,170446000,3942000,2369000,10160000,36974000,36044000,25305000,68077000,105051000,5534122,468000,100113000,-11489000,65396000,170447000
06-2019,1784000,11128000,9793000,8233000,12412000,47073000,13521000,2905000,86376000,6323000,109125000,156199000,4002000,1875000,12119000,32030000,36168000,24886000,64244000,96274000,5531048,468000,94440000,-11161000,59924000,156198000
