,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Intangibles,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,"Shares Outstanding, K",Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
06-2010,1877000,17391000,14012000,9511000,1197000,51101000,20041000,10524000,105373000,4032000,139970000,191071000,3078000,1789000,12128000,24681000,37765000,24393000,79512000,104193000,8038278,443000,42010000,-3937000,86878000,191071000
03-2010,1759000,15503000,13611000,10132000,1409000,49916000,21651000,12081000,107128000,4337000,145197000,195113000,3028000,2060000,12301000,25924000,38281000,23357000,79107000,105031000,8066134,443000,42429000,-1549000,90082000,195113000
12-2009,1978000,23991000,14645000,12403000,1691000,61670000,22780000,13122000,110391000,4986000,151279000,212949000,4370000,2242000,13583000,37225000,43193000,24247000,85278000,122503000,8070373,443000,40426000,712000,90446000,212949000
09-2009,4234000,48239000,10552000,5058000,1022000,73784000,13173000,12166000,37921000,4250000,67510000,141294000,2481000,1678000,10577000,23992000,32402000,16228000,51052000,75044000,8069536,443000,54835000,-2037000,66250000,141294000
06-2009,2244000,47403000,10446000,4993000,1154000,71550000,13194000,12576000,38405000,3614000,67789000,139339000,2595000,1549000,12632000,26109000,31864000,15770000,49995000,76104000,6749143,443000,51965000,-2123000,63235000,139339000
