,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL,Total Assets,Short Term Debt,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
09-1991,673500,201500,1494500,1188700,804900,4363100,3822000,1300600,1101300,6223900,9008000,17500,401300,267000,610700,3227900,148900,160100,710300,3906100,33200,4903000,75600,5069800,8975900
06-1991,675800,167900,2039100,1202100,276300,4361200,3702000,1227100,1075800,6004900,8825600,17500,411000,267300,724200,3261700,157200,157300,736000,3966000,33100,4627700,85900,4827900,8793900
03-1991,608900,131500,2048700,1180400,286700,4256200,3724600,1303000,1086000,6113600,8813600,0,427400,267100,573300,2826500,177200,162000,808900,3605900,33100,4668000,258400,5178200,8784100
12-1990,870300,782800,1377200,1142600,263000,4435900,3616300,1422700,1083600,6122600,9052000,0,450300,283600,576000,3116900,193300,156700,843100,3960000,16500,4509900,256000,5092000,9052000
09-1990,307900,101300,1446500,1215300,813400,3884400,3769600,0,2530600,6300200,8530200,0,418000,230100,475900,2675300,189900,158000,840800,3486800,16500,4454300,228700,5014100,8500900
