,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Intangibles,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,"Shares Outstanding, K",Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
09-2021,1966000,27730000,11897000,8640000,7667000,57900000,14436000,21597000,75795000,9460000,121288000,179188000,4698000,2571000,20690000,41803000,36250000,24828000,61418000,103221000,5612867,473000,102252000,-5372000,75967000,179188000
06-2021,2372000,19328000,10587000,8948000,7579000,48814000,14224000,20942000,77190000,8750000,121106000,169920000,4327000,2015000,17217000,35664000,35354000,24400000,63941000,99605000,5606688,472000,96346000,-4483000,70315000,169920000
03-2021,1768000,11899000,9864000,8493000,7509000,39533000,14011000,20228000,77765000,7281000,119285000,158818000,4064000,1985000,12798000,26652000,35347000,23588000,63299000,89953000,5597694,472000,95158000,-4418000,68865000,158818000
12-2020,1786000,10437000,7913000,8020000,3647000,35067000,13745000,20262000,77893000,7262000,119162000,154229000,4283000,3049000,11561000,25920000,37133000,23629000,64836000,90756000,5577630,470000,90392000,-5075000,63473000,154229000
09-2020,1587000,20325000,10012000,9295000,6520000,47739000,14403000,19008000,90829000,7004000,131244000,178983000,4141000,2425000,10683000,34154000,49785000,25000000,79335000,113487000,5558396,470000,100284000,-12440000,65495000,178982000
