,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Intangibles,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,"Shares Outstanding, K",Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
09-2011,3706000,25257000,15749000,8426000,9594000,62732000,17721000,9468000,101006000,5205000,133400000,196132000,3765000,1999000,27856000,35399000,21921000,77746000,105602000,7686967,445000,48121000,-685000,90530000,196132000
06-2011,3096000,22388000,15192000,8597000,11211000,60484000,18281000,10207000,102166000,4761000,135415000,195899000,3698000,1815000,30471000,35723000,20662000,76465000,106936000,7802127,445000,44320000,-426000,88963000,195899000
03-2011,730000,23279000,15182000,8467000,10586000,58244000,18833000,9811000,103350000,4718000,136712000,194956000,3750000,1849000,29171000,35308000,20518000,75252000,104423000,7901130,444000,44926000,-1547000,90533000,194956000
12-2010,1735000,26277000,13380000,8275000,11346000,61013000,18645000,9747000,101483000,4126000,134001000,195014000,3994000,2080000,28636000,38410000,21068000,78113000,106749000,7995220,444000,42716000,-2943000,88265000,195014000
09-2010,2176000,20288000,14302000,8771000,1268000,54089000,19450000,10344000,102414000,5118000,137326000,191415000,3206000,1853000,24172000,39010000,23220000,79175000,103347000,8009951,443000,42873000,-3219000,88068000,191415000
