,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Intangibles,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
09-2001,1898000,7565000,5679000,2842000,241000,19999000,10166000,4258000,1764000,2619000,18807000,38806000,1632000,1010000,3115000,13039000,2087000,4351000,6871000,19910000,339000,23967000,-4368000,18896000,38806000
06-2001,1295000,7721000,5435000,2926000,285000,19598000,9818000,3218000,1776000,2531000,17343000,36941000,1542000,965000,3113000,11984000,2367000,4139000,7141000,19125000,338000,21899000,-4369000,17816000,36941000
03-2001,1176000,6633000,5773000,2889000,138000,18698000,9601000,2373000,1797000,2677000,16448000,35146000,1418000,928000,3508000,10874000,1888000,4034000,6524000,17398000,338000,21444000,-4196000,17748000,35146000
12-2000,1099000,5764000,5489000,2702000,140000,17187000,9425000,2529000,1791000,2578000,16323000,33510000,1719000,982000,3445000,11981000,1123000,3950000,5453000,17434000,337000,19599000,-4897000,16076000,33510000
09-2000,1341000,5883000,5411000,2723000,1810000,17168000,14014000,2646000,0,4496000,21156000,33488000,1417000,917000,3179000,12344000,1257000,3137000,4972000,17316000,336000,19453000,-4604000,16172000,33488000
