,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,Investments And Advances,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
12-1985,356500,56100,813100,801400,130900,2158000,788800,247800,3339900,4462900,270500,141800,223200,959700,323500,82400,575900,1503000,16400,2543400,-111500,2927300,4430300
12-1984,820500,69000,685400,736700,139200,2450800,179400,273700,1608700,4065700,220100,128600,248300,1086900,341700,72900,482400,1536500,16100,2204900,-208400,2495500,4032000
12-1983,650800,64900,768900,733700,120700,2339000,207500,232600,440100,3936100,238500,122300,268300,1127000,483700,73100,628300,1721700,16000,1848200,-132900,2180800,3902500
12-1982,486200,125000,727900,793700,90500,2223300,171100,245600,416700,3781000,219500,115900,219700,1105500,520500,81400,678000,1742700,7700,1591800,9800,1996600,3739300
12-1981,422800,144100,750000,848200,95000,2260100,186300,202500,388800,3647100,225400,112700,194500,1123800,690000,76000,825700,1912100,7500,1396800,200,1697600,3609700
