,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,Investments And Advances,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
03-1999,1166000,3039000,3470000,1704000,1370000,10749000,1548000,2197000,10769000,19025000,656000,430000,1277000,7752000,525000,1539000,2228000,9980000,71000,12254000,-4574000,9045000,19025000
12-1998,1552000,2377000,2914000,1828000,1260000,9931000,1756000,2200000,3956000,18302000,971000,614000,1716000,7192000,527000,1576000,2300000,9492000,70000,11439000,-4434000,8810000,18302000
09-1998,2723000,930000,2860000,1681000,1680000,9874000,1717000,2471000,10574000,18177000,817000,550000,1395000,7259000,528000,1304000,2273000,9532000,70000,11325000,-4061000,8645000,18177000
06-1998,1089000,958000,3110000,1842000,1260000,8259000,1315000,2768000,10631000,16508000,814000,601000,1388000,6138000,724000,1243000,2065000,8203000,70000,9928000,-4136000,8305000,16508000
03-1998,1053000,795000,2913000,1837000,810000,7408000,1360000,3048000,4408000,15955000,724000,428000,1297000,5681000,729000,1203000,2085000,7766000,70000,9796000,-3617000,8189000,15955000
