,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
12-1997,877000,712000,2527000,1773000,931000,6820000,6458000,1340000,3039000,10837000,15336000,765000,477000,1023000,5305000,729000,1213000,2098000,7403000,69000,9349000,-2731000,7933000,15336000
09-1997,1190000,727000,2636000,1820000,866000,7239000,6314000,1179000,2931000,10424000,15347000,702000,420000,1082000,5780000,729000,1155000,2162000,7942000,69000,9012000,-2269000,7405000,15347000
06-1997,1514000,723000,2525000,1664000,917000,7343000,6203000,1224000,3222000,10649000,15732000,971000,400000,1284000,6422000,731000,1142000,2136000,8558000,69000,8415000,-2186000,7174000,15732000
03-1997,1230000,643000,2528000,1594000,931000,6926000,6023000,1195000,3084000,10302000,15053000,819000,403000,1108000,5780000,732000,1095000,2121000,7901000,35000,8399000,-1572000,7152000,15053000
12-1996,1150000,487000,2252000,1589000,990000,6468000,6005000,1163000,3186000,10354000,14667000,913000,436000,1164000,5640000,687000,1133000,2073000,7713000,34000,8017000,-1343000,6954000,14667000
