,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
12-1987,119600,1588600,1184400,1028200,179900,4100700,2875900,732300,583700,4191900,6922600,357000,213400,460400,1956600,248900,104900,1083600,3018000,16500,3327100,125700,3882400,6900400
09-1987,502500,64000,1097600,977700,87500,2729300,2753100,1174500,490700,4418300,5827600,290500,138100,288800,1487400,251800,99900,562100,2027000,16500,3264500,57100,3778100,5805100
06-1987,451200,60800,1044800,1039700,87700,2684200,2723100,1133200,472400,4328700,5715600,312300,142400,385000,1485700,272500,99500,589800,2052500,16500,3078600,82400,3640100,5692600
03-1987,351600,68000,990400,961200,85800,2457000,2636200,921300,617900,4175400,5385000,299700,151600,281300,1222000,279700,95800,586800,1786600,16500,3051400,34700,3576200,5362800
12-1986,87200,918000,977600,889200,91200,2963200,2541900,1072600,399900,4014400,5227500,307200,153700,251800,1234400,285400,88900,577900,1790400,16500,2933700,-18600,3415200,5205600
