,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,Investments And Advances,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
12-1980,298200,192400,718300,891500,73800,2174200,179700,184800,364500,3363700,244600,96300,161600,1096800,583100,75600,703000,1765600,7400,1328500,100,1563900,3329500
12-1979,303000,175800,653800,741900,53200,1927700,197300,164800,362100,3049100,242300,72200,152000,954600,565500,68500,680600,1605700,8200,1188400,100,1413900,3019600
