,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,Investments And Advances,Other Non-Current Assets,TOTAL,Total Assets,Short Term Debt,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
06-1995,623600,1018400,2083100,1467400,789600,5982100,673500,2700100,9086400,12945400,0,715100,397800,1208000,6102500,611200,1148200,2013700,8116200,34100,6189400,-558300,4829200,12945400
03-1995,967000,1012100,1968400,1407800,469400,5824700,739600,2520400,8700700,12515300,1300,573200,348700,1035000,5777300,609900,1133000,2041200,7818500,34100,6201400,-612600,4696800,12515300
12-1994,1458500,560100,1665000,1264900,839900,5788400,724300,1512600,7229800,11098500,0,524900,419000,930900,4825900,604200,1132800,1948700,6774600,34000,5944500,-553000,4323900,11098500
09-1994,894200,1090900,1641500,1267600,531600,5425800,609900,1423900,2033800,10401500,0,432900,364900,899100,4139000,586300,1264800,2108600,6247600,34000,5758500,-505500,4153900,10401500
06-1994,804100,1020100,1548600,1239600,559300,5171700,723300,1399300,6757200,10099900,0,427100,346100,1059200,4286200,570200,1256300,2065700,6315100,33900,5420700,-491400,3748000,10063100
