,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Intangibles,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,"Shares Outstanding, K",Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
12-2007,3406000,22069000,9843000,5302000,731000,46849000,15734000,4856000,41880000,5949000,68419000,115268000,2270000,1974000,8223000,21835000,7314000,13413000,28423000,50258000,6760989,442000,49660000,1842000,65010000,115268000
09-2007,2611000,19687000,9942000,5210000,641000,41840000,15714000,4922000,42208000,4346000,67190000,109030000,2298000,1628000,7489000,14328000,6041000,14507000,28092000,42420000,6829805,442000,51063000,-381000,66610000,109030000
06-2007,2138000,20115000,9497000,5734000,574000,41622000,16298000,5067000,43887000,3529000,68781000,110403000,1845000,1573000,6760000,15136000,5777000,13794000,27173000,42309000,6927109,442000,50304000,-374000,68094000,110403000
03-2007,2492000,19978000,10455000,5694000,487000,42337000,16481000,4817000,44412000,2436000,68146000,110483000,2037000,1679000,6412000,13301000,4771000,12560000,24694000,37995000,7018263,441000,53063000,-970000,72488000,110483000
12-2006,1827000,25886000,9392000,6111000,576000,47658000,16632000,3892000,45226000,2138000,67888000,115546000,2019000,1903000,6512000,22099000,5546000,8528000,22089000,44188000,7086916,441000,49669000,-1116000,71358000,115546000
