,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Intangibles,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,"Shares Outstanding, K",Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
06-2005,1276000,13293000,9316000,6480000,702000,33573000,17673000,3247000,53409000,4425000,78754000,112327000,2100000,1469000,5974000,22566000,5517000,7437000,24433000,46999000,7370501,439000,36446000,289000,65328000,112327000
03-2005,1476000,20495000,10074000,6551000,965000,42353000,17912000,3619000,54672000,4379000,80582000,122935000,2300000,1601000,6357000,28948000,6432000,7286000,26455000,55403000,7435344,438000,35785000,1094000,67532000,122935000
12-2004,1808000,18085000,9367000,6660000,835000,39088000,18385000,3873000,57007000,4725000,83990000,123078000,2672000,1939000,7200000,26458000,7279000,9037000,28342000,54800000,7458874,438000,35492000,1242000,68278000,123078000
09-2004,1864000,16814000,9216000,6295000,910000,39057000,17477000,4216000,56676000,4803000,83172000,122229000,2329000,1835000,6249000,25239000,7956000,8689000,28607000,53846000,7530995,437000,35347000,-339000,68383000,122229000
06-2004,652000,16831000,9342000,5863000,838000,36685000,17299000,4420000,57289000,4268000,83276000,119961000,2480000,1599000,5785000,25158000,6765000,8566000,28098000,53256000,7550776,437000,32003000,-1181000,66705000,119961000
