,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,Investments And Advances,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
06-2000,1590000,4402000,5341000,2597000,1886000,15816000,2183000,5020000,20948000,32044000,1440000,850000,3549000,12218000,1266000,3054000,4853000,17071000,335000,18085000,-4876000,14973000,32044000
03-2000,191000,3589000,3882000,1614000,1157000,10433000,1917000,2409000,12544000,20225000,855000,567000,1340000,7478000,524000,1637000,2559000,10037000,213000,14577000,-3418000,10188000,20225000
12-1999,739000,3703000,3864000,1654000,1231000,11191000,1721000,2319000,4040000,20574000,951000,669000,1695000,9185000,525000,1676000,2502000,11687000,213000,13396000,-3287000,8887000,20574000
09-1999,942000,3966000,3618000,1638000,1320000,11484000,1541000,2155000,11363000,20239000,694000,576000,1427000,9092000,525000,1564000,2361000,11453000,212000,13085000,-3868000,8786000,20239000
06-1999,1223000,3289000,3396000,1805000,1438000,11151000,1521000,2230000,10999000,19640000,770000,535000,1660000,8810000,530000,1464000,2179000,10989000,212000,12367000,-3906000,8651000,19640000
