,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL,Total Assets,Short Term Debt,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
12-1992,1257100,1066900,1400300,1067800,592700,5384800,3816400,601400,1298800,5716600,9590100,0,456400,332900,779900,3217400,571300,935900,1654100,4871500,33700,5119300,45700,4718600,9590100
09-1992,1079800,722500,2252900,1233700,350900,5639800,4332800,677700,1188500,6199000,10130400,0,437400,309800,797100,3224000,591600,482800,1436000,4626200,33600,5225100,338900,5470400,10096600
06-1992,941900,484100,2067000,1167600,342700,5003300,4041800,972700,1149400,6163900,9555100,2800,446100,318700,897900,3158200,581000,455800,1362600,4488300,33500,4927900,149200,5034300,9522600
03-1992,1065600,652400,1484000,1165400,339500,4706900,4027000,1169900,1199600,6396500,9467600,0,440200,270900,674100,3046100,579800,452100,1358200,4370000,33400,4968000,146200,5063300,9433300
12-1991,1317600,583100,1403900,1171500,332100,4808200,2381000,1337800,1107600,4826400,9634600,0,462900,287600,620400,3420500,396600,456300,1187800,4573900,33200,4794900,157700,5026300,9600200
