,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
09-1996,1046000,1038000,2193000,1614000,915000,6806000,5764000,1198000,2934000,9896000,14616000,750000,437000,1034000,6199000,553000,1135000,1851000,8050000,34000,7707000,-1271000,6566000,14616000
06-1996,870000,1106000,2133000,1441000,941000,6491000,5639000,606000,2951000,9196000,13619000,652000,417000,1508000,5848000,583000,1047000,1787000,7635000,34000,7194000,-1186000,5984000,13619000
03-1996,818000,875000,2221000,1502000,990000,6406000,5543000,527000,2720000,8790000,13174000,602000,389000,1380000,5482000,584000,1034000,1804000,7286000,34000,7184000,-1106000,5888000,13174000
12-1995,403300,1108700,2024000,1384100,1232300,6152400,5463400,544900,2559400,8567700,12729300,715300,421300,1192800,5187200,833000,1036400,2035500,7222700,34300,6858900,-1006800,5506600,12729300
09-1995,733600,963000,1998300,1348900,1093200,6137000,5502000,581900,2628600,8712500,12821100,636000,409500,1019700,5799400,358200,1132600,1740500,7539900,34200,6613600,-756800,5281200,12821100
