,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
03-1994,796800,835600,1570100,1174500,565900,4942900,4453700,661900,1343300,6458900,9640900,449000,341500,874000,3750200,570100,1250300,2051000,5765700,33900,5460600,-468700,3839700,9605400
12-1993,729400,447100,1468700,1093500,994500,4733200,4300700,586700,1378500,6265900,9330900,479100,408600,770900,3443600,570500,1261900,2021800,5465400,33900,5240700,-657800,3865500,9330900
09-1993,1227900,1319500,1521300,1128600,499500,5696800,4185600,598300,1047800,5831700,9882400,394600,431800,763600,4146100,572900,1290200,1914000,6019500,33800,5087100,-530600,3822300,9841800
06-1993,1159900,1421100,1513100,1191900,461200,5747200,4097900,598400,1193099,5889399,10018800,384300,378300,826500,4096200,574400,938400,1714200,5776300,33800,5299100,106800,4208400,9984700
03-1993,1019000,1207300,1506000,1110800,592600,5435700,3893700,640300,1306300,5840300,9724000,381300,334700,720700,3616400,573600,940900,1655300,5236600,33700,5312600,-12100,4452300,9688900
