,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Intangibles,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,"Shares Outstanding, K",Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
09-2006,1177000,11654000,9177000,6167000,7265000,38721000,16417000,2845000,46374000,4228000,69864000,108585000,1742000,1533000,5271000,17688000,5561000,6786000,21185000,38873000,7210445,441000,43991000,671000,69712000,108585000
06-2006,1921000,12829000,9275000,6392000,7315000,40994000,16483000,2387000,47191000,4495000,70556000,111550000,1740000,1399000,5655000,20055000,5450000,7187000,23006000,43061000,7291451,440000,40627000,960000,68489000,111550000
03-2006,2869000,12633000,10352000,6663000,596000,37415000,17103000,2543000,51814000,4084000,75544000,112959000,1892000,1504000,7719000,19674000,6508000,6831000,23676000,43350000,7327389,439000,41715000,281000,69609000,112959000
12-2005,2247000,19979000,9103000,5478000,7169000,46835000,16233000,2497000,47229000,4176000,70135000,116970000,2073000,1602000,6521000,28402000,6347000,6750000,22804000,51206000,7357944,439000,37608000,-275000,65764000,116970000
09-2005,959000,12430000,9348000,6556000,751000,32768000,17519000,2784000,52782000,4490000,77575000,110343000,1809000,1636000,5992000,20395000,5414000,6947000,23141000,43536000,7371397,439000,38033000,190000,66807000,110343000
