,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL,Total Assets,Short Term Debt,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
06-1990,399100,870000,1280900,1168900,243900,3962800,3518300,0,2188500,5706800,8100400,0,379000,245500,608000,2578300,181800,148000,842400,3394000,16500,4211000,105800,4679700,8073700
03-1990,388900,187400,1294900,1125300,1049600,4046100,3398300,0,2045400,5443700,7954700,0,370900,229500,488300,2351800,189600,139200,862600,3188800,16500,4258100,112900,4740300,7929100
12-1989,825400,1063700,1233500,1080500,301700,4504800,3252500,1103300,932600,5288400,8324800,0,401400,236500,479200,2911600,190600,136100,877400,3789000,16500,4105400,47400,4535800,8324800
09-1989,568600,110600,1262800,1074700,779400,3796100,3277000,0,2193500,5470500,7726300,4900,354200,216300,372100,2318300,207400,114500,881000,3175500,16500,4109500,-6500,4527000,7702500
06-1989,475300,142100,1108100,1094200,951500,3771200,3149000,0,2230800,5379800,7654200,0,362800,210000,509600,2433600,213600,108000,909400,3320400,16500,3891900,-18500,4311200,7631600
