,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other current assets,TOTAL,PPE Net,Investments And Advances,Intangibles,Other Non-Current Assets,TOTAL,Total Assets,Accounts payable and accrued liabilities,Accrued Expenses,Other current liabilities,TOTAL,Long Term Debt,Other Non-Current Liabilities,TOTAL,Total Liabilities,"Shares Outstanding, K",Common Shares,Retained earnings,Other shareholders' equity,TOTAL,Total Liabilities And Equity
03-2004,965000,12987000,10415000,5942000,2028000,35389000,17703000,5430000,59454000,4313000,86900000,122289000,2479000,1636000,6857000,24637000,7144000,8407000,28604000,53241000,7630537,436000,31707000,408000,69048000,122289000
12-2003,1520000,10432000,8636000,5699000,1632000,30677000,18156000,6142000,57856000,3944000,86098000,116775000,2587000,1740000,5850000,23909000,5755000,8722000,27489000,51398000,7625056,435000,29382000,-1484000,65377000,116775000
09-2003,1610000,12807000,8626000,6701000,340000,33067000,17961000,5962000,57151000,5917000,86991000,120058000,1998000,1539000,5049000,21660000,6439000,8548000,29867000,51527000,7631523,434000,31191000,-2831000,68531000,120058000
06-2003,2190000,13767000,8808000,6733000,234000,34744000,18279000,6086000,59537000,5612000,89514000,124258000,2121000,1420000,5333000,22157000,6710000,9176000,31819000,53976000,7786224,434000,28923000,-2239000,70282000,124258000
03-2003,2068000,13437000,10960000,2599000,287000,31103000,11038000,5139000,1230000,4418000,21825000,52928000,1374000,947000,3635000,18754000,3713000,4432000,9331000,28085000,7894470,342000,34908000,-2935000,24843000,52928000
